name,subtext,price,ratting,stock
Achel Blond,Blond Beer | 8.0% | 33 cl,£ 3.19,(3.74),out-of-stock
Saison De Silly,Saison Beer | 5.0% | 33 cl,£ 1.99,(3.32),in-stock
Petrus Rood Bruin,Sour Beer | 5.5% | 33 cl,£ 2.29,(3.59),out-of-stock
Vicaris Generaal,Brown Ale | 8.5% | 33 cl,£ 3.05,(3.54),out-of-stock
Vicaris Tripel,Tripel Beer | 8.5% | 33 cl,£ 3.09,(3.63),out-of-stock
Scheldebrouwerij Oesterstout,Porter & Stout | 8.5% | 33 cl,£ 3.29,(3.55),out-of-stock
Oedipus Swingers,Sour Beer | 4.0% | 33 cl,£ 3.19,(3.40),out-of-stock
Fuller's Honey Dew,Blond Beer | 5.0% | 33 cl,£ 2.59,(3.36),out-of-stock
Harviestoun Bitter & Twisted,Blond Beer | 4.2% | 33 cl,£ 2.99,(3.42),out-of-stock
Bird Brewery Fuut Fieuw,Lager | 4.6% | 33 cl,£ 2.79,(3.44),out-of-stock
Wild Beer Co Bibble,Pale Ale | 4.2% | 33 cl,£ 2.69,(3.67),out-of-stock
Crew Republic Easy,Pale Ale | 4.9% | 33 cl,£ 2.89,(3.49),out-of-stock
Magic Rock Inhaler,IPA | 4.5% | 33 cl,£ 2.89,(3.80),out-of-stock
Ninkasi Pale Ale,Amber & Red Ale | 4.5% | 33 cl,£ 2.59,(3.43),out-of-stock
Pietra,Lager | 6.0% | 33 cl,£ 2.69,(3.17),out-of-stock
Welde Kurpfalzbräu Helles,Lager | 5.2% | 50 cl,£ 2.29,(3.40),out-of-stock
Harviestoun Schiehallion,Pilsner & Hoppy Lager | 4.8% | 33 cl,£ 2.79,(3.47),out-of-stock
Baladin Nora,Blond Beer | 6.8% | 33 cl,£ 3.49,(3.63),out-of-stock
ÜberQuell World White IPA,IPA | 6.5% | 33 cl,£ 2.69,(3.47),out-of-stock
Kehrwieder Kreativbrauerei Prototyp Lager,Pilsner & Hoppy Lager | 5.9% | 33 cl,£ 2.89,(3.76),out-of-stock
Lindemans Kriek,Fruit Beer | 3.5% | 25 cl,£ 2.19,(3.54),out-of-stock
La Débauche Nevermore,Porter & Stout | 9.5% | 33 cl,£ 4.29,(4.01),out-of-stock
Lost+Found Session IPA R3,IPA | 4.6% | 33 cl,£ 3.29,(3.84),out-of-stock
Het Uiltje F*ck the Christmas tree is on fire!,Porter & Stout | 10.0% | 33 cl,£ 3.79,(3.65),out-of-stock
Baladin Leon,Quadrupel Beer | 9.0% | 33 cl,£ 3.89,(3.78),out-of-stock
Weihenstephan Dunkles Weizen,German Wheat Beer | 5.3% | 50 cl,£ 2.69,(3.81),out-of-stock
La Trappe Blond,Blond Beer | 6.5% | 33 cl,£ 2.59,(3.71),out-of-stock
Brlo Berliner Weisse,Sour Beer | 4.0% | 33 cl,£ 2.69,(3.15),out-of-stock
Cornet,Blond Beer | 8.5% | 33 cl,£ 3.19,(3.66),out-of-stock
Baladin Isaac,White Beer | 5.0% | 33 cl,£ 3.49,(3.57),out-of-stock
Breugem Saens Zoentje,Blond Beer | 6.2% | 33 cl,£ 3.09,(3.43),out-of-stock
Het Uiltje Dr. Raptor,IPA | 9.2% | 33 cl,£ 3.89,(3.85),out-of-stock
Frontaal Billiard,Porter & Stout | 10.1% | 33 cl,£ 3.99,(3.65),out-of-stock
Jessenhofke WNTR,Brown Ale | 10.0% | 33 cl,£ 3.29,(3.43),out-of-stock
Magic Rock Common Grounds,Porter & Stout | 5.4% | 33 cl,£ 2.79,(3.80),out-of-stock
Ninkasi French IPA,IPA | 5.4% | 33 cl,£ 2.79,(3.44),out-of-stock
Beavertown 8 Ball,IPA | 6.2% | 33 cl,£ 2.59,(3.81),out-of-stock
Jopen Adriaan Wit,White Beer | 5.0% | 33 cl,£ 2.69,(3.47),out-of-stock
Magic Rock High Wire,Pale Ale | 5.5% | 33 cl,£ 2.89,(3.80),out-of-stock
Harviestoun Ola Dubh 12 Year,Porter & Stout | 8.0% | 33 cl,£ 4.99,(4.03),out-of-stock
Chang Beer,Lager | 5.0% | 32 cl,£ 2.39,(2.93),out-of-stock
Wild Beer Co Fresh,Pale Ale | 5.5% | 33 cl,£ 2.89,(3.70),out-of-stock
Maisel & Friends Pale Ale,Pale Ale | 5.2% | 33 cl,£ 2.29,(3.66),out-of-stock
Beavertown Smog Rocket,Porter & Stout | 5.4% | 33 cl,£ 2.59,(3.76),out-of-stock
Two Chefs Brewing White Mamba,White Beer | 5.0% | 33 cl,£ 2.79,(3.46),out-of-stock
Wild Beer Co Modus Operandi,Sour Beer | 7.0% | 33 cl,£ 4.20,(3.70),out-of-stock
Frontaal Tankard,IPA | 3.9% | 33 cl,£ 2.99,(3.34),out-of-stock
Two Chefs Brewing Howling Wolf,Porter & Stout | 8.0% | 33 cl,£ 2.99,(3.56),out-of-stock
Ninkasi Blanche,White Beer | 4.8% | 33 cl,£ 2.69,(3.42),out-of-stock
Cinema Brewers King Kong,Tripel Beer | 8.0% | 33 cl,£ 3.39,(3.40),out-of-stock
First Chop POD,Porter & Stout | 4.2% | 33 cl,£ 2.49,(3.51),out-of-stock
Beavertown Gamma Ray,Pale Ale | 5.4% | 33 cl,£ 2.59,(3.90),in-stock
First Chop JAM,Pale Ale | 4.0% | 33 cl,£ 2.55,(3.14),out-of-stock
St. Feuillien Noël,Brown Ale | 9.0% | 33 cl,£ 2.99,(3.58),out-of-stock
Welde Badisch Gose,Sour Beer | 4.6% | 33 cl,£ 2.49,(3.51),out-of-stock
Texels Vuurbaak,Pale Ale | 5.5% | 30 cl,£ 2.49,(3.50),out-of-stock
Brasserie De Sutter Crazy IPA,Lager | 6.5% | 33 cl,£ 2.89,(3.40),out-of-stock
Paljas Rosé,Fruit Beer | 3.8% | 25 cl,£ 1.99,(2.78),out-of-stock
First Chop PIP,Saison Beer | 6.3% | 33 cl,£ 2.95,(3.48),out-of-stock
First Chop AVA,Blond Beer | 3.5% | 33 cl,£ 2.39,(3.25),out-of-stock
BRLO Naked,Pale Ale | 0.2% | 33 cl,£ 2.49,(3.25),out-of-stock
Brasserie De Sutter La Givrée,White Beer | 5.5% | 33 cl,£ 2.59,(3.16),out-of-stock
Steamworks Pale Ale,Pale Ale | 5.2% | 33 cl,£ 2.99,(3.50),out-of-stock
Brasserie De Sutter Dément'brée,Amber & Red Ale | 7.0% | 33 cl,£ 2.69,(3.25),out-of-stock
Brasserie De Sutter Folle FurieuZ,Tripel Beer | 9.0% | 33 cl,£ 3.19,(3.52),out-of-stock
Steamworks Heroica Red Ale,Amber & Red Ale | 5.6% | 33 cl,£ 2.99,(3.57),out-of-stock
Hopfmeister Brazilian Road Trip,Porter & Stout | 6.5% | 33 cl,£ 3.99,(3.19),out-of-stock
First Chop HOP,IPA | 4.1% | 33 cl,£ 2.29,(3.40),out-of-stock
Hoppebräu Helles,Lager | 4.9% | 50 cl,£ 2.49,(3.34),out-of-stock
Frankendael White Bastard,White Beer | 5.5% | 33 cl,£ 2.99,(3.32),out-of-stock
Frankendael Three Idiots Tripel Spiced (T.I.T.S.),Tripel Beer | 9.5% | 33 cl,£ 3.59,(3.50),out-of-stock
Kompaan The Mentor,Pale Ale | 5.4% | 33 cl,£ 2.35,None,out-of-stock
Magic Rock Dark Arts,Porter & Stout | 6.0% | 33 cl,£ 2.89,(3.76),out-of-stock
Steamworks Killer Cucumber Ale,Pale Ale | 4.7% | 33 cl,£ 2.99,(3.41),in-stock
Kompaan WannaBee,White Beer | 5.5% | 33 cl,£ 2.89,(3.28),out-of-stock
Frontaal Rhodesian,Barley Wine | 11.3% | 33 cl,£ 4.19,(3.76),out-of-stock
La Blonde Sans Gluten de Vézelay,Blond Beer | 4.6% | 25 cl,£ 2.49,(2.78),out-of-stock
La Trappe Dubbel,Dubbel Beer | 7.0% | 33 cl,£ 2.59,(3.63),out-of-stock
Steamworks Flagship IPA,IPA | 6.7% | 33 cl,£ 2.99,(3.95),out-of-stock
Texels Tripel,Tripel Beer | 8.5% | 30 cl,£ 2.99,(3.53),out-of-stock
Ardwen Woinic APA,Pale Ale | 6.5% | 33 cl,£ 2.69,(3.46),out-of-stock
BrewDog Clockwork Tangerine,IPA | 4.5% | 33 cl,£ 2.89,(3.55),out-of-stock
La Trappe Witte Trappist,White Beer | 5.5% | 33 cl,£ 2.39,(3.64),in-stock
Brasserie De Sutter La Folle des Bois,Fruit Beer | 6.8% | 33 cl,£ 2.79,(3.04),out-of-stock
Kompaan Boris The Butcher,Porter & Stout | 9.5% | 33 cl,£ 3.60,None,out-of-stock
Kompaan Tommy Double Barrel,Barley Wine | 11.5% | 33 cl,£ 5.59,None,out-of-stock
La Rouget De Lisle La Marseillaise,Saison Beer | 6.0% | 33 cl,£ 2.69,(3.32),in-stock
Steamworks Craft Lager,Pilsner & Hoppy Lager | 5.0% | 33 cl,£ 2.99,(3.55),out-of-stock
First Chop SYL,IPA | 6.2% | 33 cl,£ 2.99,(3.58),out-of-stock
L'Ambrée Sans Gluten de Vézelay,Amber & Red Ale | 5.6% | 25 cl,£ 2.69,(3.04),out-of-stock
La Trappe Quadrupel,Quadrupel Beer | 10.0% | 33 cl,£ 3.29,(4.00),out-of-stock
Troost Virgin IPA,IPA | 0.5% | 33 cl,£ 2.29,(2.71),out-of-stock
Kompaan Badgast,Pale Ale | 5.7% | 33 cl,£ 2.99,(3.38),out-of-stock
Paljas IPA,IPA | 6.0% | 33 cl,£ 2.29,(3.47),out-of-stock
Wild Beer Pogo,Pale Ale | 4.1% | 33 cl,£ 2.79,(3.69),out-of-stock
Cinema Brewers $5 Shake,White Beer | 5.5% | 33 cl,£ 2.89,(3.56),out-of-stock
La Trappe Tripel,Tripel Beer | 8.0% | 33 cl,£ 2.99,(3.81),out-of-stock
Gulpener Spicy Roger,IPA | 8.0% | 30 cl,£ 2.99,(3.43),out-of-stock
Bellfield Bohemian Pilsner,Pilsner & Hoppy Lager | 4.5% | 33 cl,£ 2.49,(3.14),out-of-stock
Paljas Blond,Blond Beer | 6.0% | 33 cl,£ 2.19,(3.37),in-stock
Texels Seumerfeugel,White Beer | 3.9% | 30 cl,£ 2.39,(3.41),out-of-stock
Ardwen Blonde,Blond Beer | 5.6% | 33 cl,£ 2.49,(3.26),out-of-stock
Tempest Brave New World,IPA | 7.4% | 33 cl,£ 3.89,(3.86),out-of-stock
